sourcetype,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc,exclude,exclude_reason,reviewed_by,reviewed_date,provenance
cta_linux_agent-2024-05-03T,operational,,low,,Linux,Linux cta_linux_agent-2024-05-03T,Rotation-suffixed file artifact for cta_linux_agent - same content as the base sourcetype; presence indicates ISO-timestamp rolled log files.,N,,AI Analysis,3/25/2026,human_curated
cta_linux_agent-2024-05-04T,operational,,low,,Linux,Linux cta_linux_agent-2024-05-04T,Rotation-suffixed file artifact for cta_linux_agent - same content as the base sourcetype; presence indicates ISO-timestamp rolled log files.,N,,AI Analysis,3/25/2026,human_curated
cta_linux_agent-2024-05-11T,operational,,low,,Linux,Linux cta_linux_agent-2024-05-11T,Rotation-suffixed file artifact for cta_linux_agent - same content as the base sourcetype; presence indicates ISO-timestamp rolled log files.,N,,AI Analysis,3/25/2026,human_curated
cta_linux_handler,operational,,low,,Linux,Linux cta_linux_handler-2,"Cisco Telemetry Agent handler component log - the userland process that ships sensor data, with rotation suffixes typically following the same pattern as the agent.",N,,AI Analysis,3/25/2026,human_curated
dnf,operational,,low,Updates.All_Updates,Linux,DNF package manager logs,"DNF (Dandified YUM) package manager top-level log from /var/log/dnf.log - install/update/remove transactions on RHEL 8+, Fedora, CentOS Stream, Rocky, and Alma.",N,,AI Analysis,3/25/2026,human_curated
dnf.librepo,operational,,low,Updates.Updates,Linux,Package manager logs,"DNF librepo subcomponent log - records repository metadata download activity (mirrorlist resolution, repodata fetches) underneath the dnf transaction layer.",N,,AI Analysis,3/25/2026,human_curated
dnf.librepo.log,operational,,low,Updates.Updates,Linux,Package manager logs,Same as dnf.librepo - the explicit filename form created by some Splunk_TA_nix inputs that monitor /var/log/dnf.librepo.log directly.,N,,AI Analysis,3/25/2026,human_curated
dnf.log,operational,,low,Updates.Updates,Linux,Package manager logs,Explicit filename form of dnf - same content as the dnf sourcetype but routed when the input monitors the .log path literally.,N,,AI Analysis,3/25/2026,human_curated
dnf.rpm,operational,,low,Updates.Updates,Linux,Package manager logs,DNF/RPM transaction log from /var/log/dnf.rpm.log - low-level rpm operations performed on behalf of dnf. Useful for package inventory and CIM Updates dataset.,N,,AI Analysis,3/25/2026,human_curated
dpkg,operational,,low,Updates.All_Updates,Linux,DPKG package manager logs,"Debian dpkg package operations log from /var/log/dpkg.log - per-package install/upgrade/remove status, the source of truth beneath apt for Updates data model mapping.",N,,AI Analysis,3/25/2026,human_curated
fapolicyd,security,EPP,med,"Change.All_Changes, Endpoint.Processes",Linux,File Access Policy Daemon logs,Red Hat File Access Policy Daemon log - application allowlisting enforcement events on RHEL 8+. Security-relevant for execution control.,N,,AI Analysis,3/25/2026,human_curated
fapolicyd-access,security,EDR,med,Endpoint.Processes,Linux,File Access Policy Daemon logs,fapolicyd access-decision log subset - the allow/deny records used directly for endpoint execution control monitoring.,N,,AI Analysis,3/25/2026,human_curated
firewalld,security,FW,med,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Linux,Linux firewalld logs,"Red Hat firewalld service log - zone/rule changes, panic mode events, and runtime configuration updates layered over nftables/iptables.",N,,AI Analysis,3/25/2026,human_curated
fontconfig,operational,,none,,Linux,Font configuration data,"Fontconfig cache and configuration data - operational metadata about installed fonts. Minimal monitoring value, rarely indexed in practice.",N,,AI Analysis,3/25/2026,human_curated
fstab,operational,,none,,Linux,Filesystem table config,Static filesystem mount table /etc/fstab captured as configuration data - useful for CIS benchmark checks and storage inventory.,N,,AI Analysis,3/25/2026,human_curated
hawkey,operational,,low,Updates.Updates,Linux,Package manager logs,Hawkey library log (used by dnf/PackageKit) - records depsolving and metadata operations. Operational diagnostic value; minimal security relevance.,N,,AI Analysis,3/25/2026,human_curated
iptables,security,FW,med,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Linux,Linux iptables firewall logs,Linux netfilter iptables firewall log - kernel LOG target output capturing accepted/dropped packets per rule. Feeds Network_Traffic when prefixed appropriately.,N,,AI Analysis,3/25/2026,human_curated
journalctl,operational,,med,"Alerts.Alerts, Change.All_Changes",Linux,Systemd journal logs,Output of `journalctl` invocations - structured journald entries exported to text. Use linux:journal where possible for native field extraction.,N,,AI Analysis,3/25/2026,human_curated
kdump,operational,,low,,Linux,Linux kernel/boot messages,Linux kdump crash dump service log - records kernel panic captures and vmcore generation. Operational diagnostic and reliability data.,N,,AI Analysis,3/25/2026,human_curated
kern,operational,,low,,Linux,Linux kernel/boot messages,"Linux kernel facility messages from /var/log/kern.log - hardware events, driver messages, OOM killer, netfilter (iptables) kernel logging.",N,,AI Analysis,3/25/2026,human_curated
linux:audit,security,EDR,high,"Authentication.Authentication, Change.All_Changes, Intrusion_Detection.IDS_Attacks",Linux,Linux audit subsystem logs,"Splunk_TA_linux_auditd parsed audit events - umbrella for SYSCALL, EXECVE, USER, PATH, SOCKADDR, AVC and other audit record types after extraction.",N,,AI Analysis,5/27/2026,human_curated
linux:audit:apparmor,security,EDR,med,Intrusion_Detection.IDS_Attacks,Linux,Linux audit AppArmor events,AppArmor LSM events surfaced through auditd - profile denials and allows. Feeds Change Analysis and Endpoint data models.,N,,AI Analysis,3/25/2026,human_curated
linux:audit:avc,security,EDR,med,Intrusion_Detection.IDS_Attacks,Linux,Linux audit SELinux AVC denials,SELinux Access Vector Cache denial records from auditd - the primary signal for misconfigured or attempted policy-violating access on RHEL/CentOS.,N,,AI Analysis,3/25/2026,human_curated
linux:audit:cwd,security,EDR,low,Endpoint.Processes,Linux,Linux audit current working directory,Audit CWD record - current working directory associated with a parent SYSCALL event. Used to enrich command execution forensics.,N,,AI Analysis,3/25/2026,human_curated
linux:audit:execve,security,EDR,high,"Endpoint.Processes, Change.All_Changes",Linux,Linux audit execve system calls,Audit EXECVE record - the executed program path and full argv vector for process executions. Critical for Endpoint.Processes and command-line-based threat hunting.,N,,AI Analysis,3/25/2026,human_curated
linux:audit:path,security,EDR,med,"Endpoint.Filesystem, Change.All_Changes",Linux,Linux audit file path events,Audit PATH record - filesystem path component of a multi-record SYSCALL event. Provides file targets for open/unlink/rename forensics.,N,,AI Analysis,3/25/2026,human_curated
linux:audit:proctitle,security,EDR,med,Endpoint.Processes,Linux,Linux audit process title events,"Audit PROCTITLE record - hex-encoded full command line of the executing process, often the most accurate source for argv reconstruction.",N,,AI Analysis,3/25/2026,human_curated
linux:audit:selinux,security,EDR,med,Intrusion_Detection.IDS_Attacks,Linux,Linux audit SELinux events,SELinux-tagged audit events - parent AVC and policy load records used to monitor SELinux enforcement state and denials.,N,,AI Analysis,3/25/2026,human_curated
linux:audit:sockaddr,security,EDR,med,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Linux,Linux audit socket address events,Audit SOCKADDR record - remote address/port associated with a network syscall (connect/accept/bind). Pairs with SYSCALL for network telemetry.,N,,AI Analysis,3/25/2026,human_curated
linux:audit:syscall,security,EDR,high,"Endpoint.Processes, Intrusion_Detection.IDS_Attacks",Linux,Linux audit system calls,"Audit SYSCALL record - the parent event of most multi-record audit messages. Carries syscall number, args, uid/euid/pid, success/exit status.",N,,AI Analysis,3/25/2026,human_curated
linux:audit:user,security,IAM,high,Authentication.Authentication,Linux,Linux audit user events,"Audit USER_* records - USER_LOGIN, USER_AUTH, USER_ACCT, USER_START etc. Authentication-grade events feeding the Authentication data model.",N,,AI Analysis,3/25/2026,human_curated
linux:journal,operational,,med,,Linux,systemd journal log entries,"Native systemd-journal sourcetype produced by Splunk_TA_nix journald input - structured per-entry fields (UNIT, _PID, MESSAGE, PRIORITY) preferred over text journalctl output.",N,,AI Analysis,5/27/2026,human_curated
linux:journald,operational,,med,,Linux,systemd-journald log entries,"Linux systemd-journald log entries (variant naming of linux:journal). Kernel messages, service start/stop events, and application logs collected by journald.",N,,AI Analysis,5/27/2026,human_curated
linux:kerberos,security,IAM,high,Authentication.Authentication,Linux,Linux Kerberos authentication logs,"Linux Kerberos client/library logs - krb5 ticket acquisition, KDC interactions, error conditions. Feeds the Authentication data model.",N,,AI Analysis,3/25/2026,human_curated
linux:ldap,security,IAM,med,Authentication.Authentication,Linux,Linux LDAP logs,"Linux LDAP client activity - sssd/nss_ldap directory queries, bind operations, and error conditions used for centralized identity.",N,,AI Analysis,3/25/2026,human_curated
linux:radius,security,IAM,high,Authentication.Authentication,Linux,Linux RADIUS authentication logs,"Linux RADIUS client/server logs - typically freeradius - authentication, accounting, and error events feeding the Authentication data model.",N,,AI Analysis,3/25/2026,human_curated
Linux:SELinuxConfig,security,EDR,med,,Linux,Linux SELinux config/policy data,"Snapshot of SELinux configuration (mode, policy, booleans) collected by the Splunk Add-on for Unix and Linux. Used for compliance and CIS benchmark reporting.",N,,AI Analysis,3/25/2026,human_curated
linux:sssd,security,IAM,high,Authentication.Authentication,Linux,Linux SSSD authentication logs,SSSD-emitted authentication and directory provider activity surfaced under the Linux umbrella - companion to the sssd_* component sourcetypes.,N,,AI Analysis,3/25/2026,human_curated
linux_audit,security,EDR,high,"Authentication.Authentication, Change.All_Changes, Intrusion_Detection.IDS_Attacks",Linux,Linux audit daemon logs,Alias commonly used for the auditd log - same /var/log/audit/audit.log content. Foundational source for the Splunk Add-on for Unix and Linux audit content.,N,,AI Analysis,3/25/2026,human_curated
linux_auditd,security,EDR,high,"Authentication.Authentication, Change.All_Changes, Intrusion_Detection.IDS_Attacks",Linux,Linux audit daemon logs,"Auditd parsed sourcetype used by the Splunk Add-on for Unix and Linux - feeds the Change, Authentication, and Endpoint data models from SYSCALL/EXECVE/USER_* record types.",N,,AI Analysis,3/25/2026,human_curated
linux_bootlog,operational,,low,,Linux,Linux kernel/boot messages,Linux boot log captured by Splunk_TA_nix - dmesg-style early kernel and init messages. Operational diagnostics only.,N,,AI Analysis,3/25/2026,human_curated
linux_messages_syslog,security,,med,"Alerts.Alerts, Change.All_Changes",Linux,Linux /var/log/messages syslog,Splunk_TA_nix input for /var/log/messages on Red Hat-family systems. Mixed system messages used by countless Splunk-shipped extractions.,N,,AI Analysis,3/25/2026,human_curated
linux_secure,security,IAM,high,Authentication.Authentication,Linux,Linux /var/log/secure authentication logs,"Red Hat /var/log/secure authentication log - SSHD, sudo, su, login, PAM events. Primary Linux Authentication data model source on RHEL-family systems.",N,,AI Analysis,3/25/2026,human_curated
lsof,operational,,low,,Linux,List open files command output,Output of the `lsof` command captured by Splunk_TA_nix - per-process open file and socket inventory. Useful for forensic snapshots and Network_Sessions data.,N,,AI Analysis,3/25/2026,human_curated
maillog,operational,,low,Email.All_Email,Linux,Linux mail server logs,"Linux mail server log from /var/log/maillog or /var/log/mail.log - sendmail/postfix MTA activity, delivery status, and reject reasons.",N,,AI Analysis,3/25/2026,human_curated
messages,operational,,low,,Linux,Linux system messages,Generic /var/log/messages catch-all syslog file - mixed facility messages on Red Hat-family hosts before journald-only deployments. CIM mappings depend on actual content.,N,,AI Analysis,3/25/2026,human_curated
package,operational,,low,Updates.All_Updates,Linux,Linux package management logs,Generic package management sourcetype from Splunk_TA_nix package input - captures installed package inventory snapshots for the Updates and Inventory data models.,N,,AI Analysis,3/25/2026,human_curated
